timestamp,node,system,machine,fpc_score,fpa_score,fpm_score,fpd_score,brs_score,brm_score
2025-06-07 16:09:56,Phantom,Windows,AMD64,37942133.51196804,37455545.67763395,37670051.284499116,29421670.016055685,23373535.72184889,15091503.117649421
2025-06-07 16:09:59,Phantom,Windows,AMD64,38166769.66305525,38173989.554122664,37649857.292117,31685469.126272246,22555755.450803135,15033364.695157805
2025-06-07 16:10:00,Phantom,Windows,AMD64,37415663.95553104,37118469.06042006,37229210.4951748,30552665.67143439,23408894.491706416,15094310.255622528
2025-06-07 16:10:02,Phantom,Windows,AMD64,38190848.69704833,37341679.11357168,38056884.73501526,30575209.11144063,23630605.24707025,14895233.058404267
2025-06-07 16:10:03,Phantom,Windows,AMD64,36087594.3027266,38159842.369357504,37782426.88451406,29779640.947734296,22795970.28648154,14768549.751621708
2025-06-07 16:10:04,Phantom,Windows,AMD64,37310209.377676,37871772.295366555,37833404.49929988,29815595.706137735,23548093.731969416,15389630.140523793
2025-06-07 16:10:07,Phantom,Windows,AMD64,37814528.84270326,38637495.11962085,37721982.702667534,30189694.008037467,23609079.01557995,15030205.058001475
2025-06-07 16:10:08,Phantom,Windows,AMD64,38025506.86887974,37630554.51855741,37569651.72742378,28514704.37722371,23376378.250603836,14573765.257531682
2025-06-07 16:10:09,Phantom,Windows,AMD64,38222722.08826432,38446156.07726053,37341358.25691722,29806289.87094462,23187759.170601714,15076843.14990539
2025-06-07 16:10:11,Phantom,Windows,AMD64,36208264.52492332,38454463.776846625,37676134.39120791,30734386.086376656,22632430.332712907,15292341.280140022
2025-06-07 16:10:12,Phantom,Windows,AMD64,38649223.956397526,38247261.642918594,37698500.40380367,31259251.212418098,22929996.924320977,15283039.072146125
2025-06-07 16:10:13,Phantom,Windows,AMD64,38244504.9412527,38622007.413940035,38787514.994090684,29393067.685069304,23184133.767348763,15058312.94258114
2025-06-07 16:10:35,Phantom,Windows,AMD64,37894852.88604113,38646524.98301373,37743971.11602085,31617486.385836493,23805061.453798547,15302944.287759798
2025-06-07 16:10:41,Phantom,Windows,AMD64,38453942.0703781,38838423.590699196,38419197.60008511,30231418.825197797,23300581.07012463,15107935.338071078
2025-06-07 16:10:43,Phantom,Windows,AMD64,36878832.942685,37122173.22057072,36776128.21908169,30799389.400128137,22499110.24284208,15058293.253608556
2025-06-07 16:11:14,Phantom,Windows,AMD64,36802959.9904124,38079981.525248386,38425045.63165539,31272325.97677053,22950977.680033743,15275779.509583646
2025-06-07 16:11:18,Phantom,Windows,AMD64,37809812.11378726,37482368.07439003,37736202.709531255,31482983.511180818,23283545.705398064,15364282.059751801
2025-06-07 16:11:20,Phantom,Windows,AMD64,35334887.03378067,36939673.47291913,36208910.08197756,30511770.447339702,22940129.04850622,14838001.895684483
2025-06-07 16:11:21,Phantom,Windows,AMD64,37860308.3510158,35719695.37090886,37456824.599760935,30285489.70485488,23458418.5013803,15061310.112476366
2025-06-07 16:11:23,Phantom,Windows,AMD64,37661233.513146885,36866102.35917819,36550560.68123952,31135431.270330254,22402909.090841617,15149145.456323272
2025-06-07 16:11:24,Phantom,Windows,AMD64,37495419.40256866,37563041.40409698,36818739.7924063,30086796.103730142,23267163.719656214,15159407.73556657
2025-06-07 16:11:26,Phantom,Windows,AMD64,37465321.647857405,37665540.961047366,37182916.626774885,31067151.458027523,22578752.857744765,15329543.008702738
2025-06-07 16:11:27,Phantom,Windows,AMD64,37441677.49246415,36384380.42205489,37386644.64490339,31614288.031076755,22537039.65050079,15442883.634997025
2025-06-07 16:11:29,Phantom,Windows,AMD64,36906181.561570756,36777181.972266875,37666817.60489864,31361201.313372765,23255517.551493365,15344182.52712412
2025-06-07 16:11:30,Phantom,Windows,AMD64,37693292.100993,37241636.653843045,37373556.10887145,31165955.21528813,22919537.099490028,15371620.316534316
2025-06-07 16:11:31,Phantom,Windows,AMD64,37714331.45183251,37773500.12949973,37114101.0822427,31296705.563827425,23489550.12731674,15395950.837401433
2025-06-07 16:11:32,Phantom,Windows,AMD64,37424218.17812101,37641331.96195128,37791278.24241421,29987001.630715635,23242971.838240102,15497729.57741869
